Year Month,Postal Code,Customer Class,Total Gallons
201410,78730,Irrigation - Multi-Family,"1,713,100"
201312,78725,Multi-Family,"309,800"
201601,78736,Irrigation - Multi-Family,"180,200"
201204,78727,Residential,"37,688,900"
201311,78717,Irrigation - Multi-Family,"3,369,000"
201304,78703,Irrigation - Residential,"1,399,400"
201506,78754,Residential,"20,712,000"
201605,78745,Irrigation - Residential,"25,300"
201409,78753,Irrigation - Residential,"9,100"
201407,78660,Multi-Family,"4,241,600"
201806,78653,Irrigation - Multi-Family,0
201710,78732,Residential,"9,500"
201201,78738,Residential,"7,500"
201401,78721,Irrigation - Multi-Family,0
201408,78747,Irrigation - Multi-Family,"915,800"
201303,78744,Irrigation - Residential,"1,100"
201205,78742,Multi-Family,"362,900"
201609,78738,Residential,100
201305,78737,Irrigation - Residential,"13,800"
201202,78704,Irrigation - Residential,"101,400"
201802,78732,Residential,"3,900"
201411,78750,Irrigation - Residential,"2,800"
201703,78744,Multi-Family,"30,329,400"
201611,78759,Residential,"63,858,300"
201511,78652,Residential,"1,651,000"
201406,78741,Irrigation - Multi-Family,"1,562,600"
201503,78724,Irrigation - Residential,"14,800"
201609,78701,Residential,"1,133,200"
201408,78717,Residential,"52,765,700"
201206,78746,Multi-Family,"16,272,900"
201411,78613,Irrigation - Multi-Family,"822,000"
201412,78742,Residential,"589,900"
201504,78747,Irrigation - Multi-Family,"333,000"
201604,78745,Irrigation - Residential,"29,000"
201806,78745,Multi-Family,"35,786,700"
201504,78701,Residential,"805,500"
201212,78738,Residential,"6,500"
201408,78742,Multi-Family,"355,700"
201503,78749,Irrigation - Multi-Family,"1,691,100"
201409,78731,Irrigation - Multi-Family,"1,648,500"
201403,78741,Multi-Family,"74,731,700"
201703,78617,Irrigation - Residential,"7,000"
201302,78730,Residential,"8,912,900"
201402,78735,Multi-Family,"8,358,100"
201510,78747,Multi-Family,"7,230,100"
201501,78613,Irrigation - Multi-Family,"86,300"
201502,78730,Irrigation - Residential,"57,700"
201310,78753,Residential,"40,858,200"
201604,78742,Irrigation - Multi-Family,"125,100"
201605,78729,Multi-Family,"22,622,100"
201609,78736,Irrigation - Residential,"19,900"
201408,78756,Irrigation - Residential,"98,100"
201412,78748,Irrigation - Multi-Family,"2,714,900"
201301,78727,Multi-Family,"22,277,900"
201403,78730,Irrigation - Residential,"46,100"
201507,78747,Multi-Family,"7,314,800"
201302,78735,Residential,"16,103,300"
201604,78721,Irrigation - Multi-Family,"1,041,000"
201508,78717,Multi-Family,"11,659,400"
201612,78756,Multi-Family,"5,458,500"
201507,78725,Multi-Family,"227,300"
201501,78703,Irrigation - Multi-Family,"654,900"
201609,78725,Residential,"3,300,300"
201710,78727,Irrigation - Multi-Family,"6,778,700"
201403,78731,Irrigation - Multi-Family,"380,200"
201704,78652,Irrigation - Residential,"84,700"
201610,78617,Irrigation - Residential,"5,500"
201411,78726,Irrigation - Residential,"11,100"
201211,78705,Irrigation - Multi-Family,"385,100"
201808,78726,Multi-Family,"16,399,100"
201601,78735,Residential,"13,752,100"
201211,78729,Residential,"25,927,200"
201607,78753,Irrigation - Multi-Family,"6,270,300"
201611,78727,Irrigation - Residential,"10,700"
201709,78757,Residential,"40,467,500"
201403,78753,Residential,"34,825,600"
201209,78738,Residential,"8,700"
201610,78736,Residential,"14,312,400"
201511,78727,Multi-Family,"17,730,000"
201708,78728,Residential,"7,689,100"
201802,78701,Multi-Family,"15,402,800"
201707,78726,Residential,"29,601,800"
201708,78660,Multi-Family,"5,033,500"
201408,78750,Irrigation - Residential,"37,400"
201203,78725,Multi-Family,"273,700"
201601,78729,Irrigation - Residential,"2,400"
201410,78742,Multi-Family,"327,700"
201703,78617,Residential,"18,647,800"
201211,78727,Multi-Family,"21,083,300"
201401,78746,Irrigation - Residential,"220,500"
201309,78754,Irrigation - Residential,200
201501,78725,Multi-Family,"172,900"
201411,78717,Multi-Family,"9,449,900"
201208,78702,Multi-Family,"9,284,700"
201802,78753,Multi-Family,"47,759,400"
201212,78660,Irrigation - Residential,"6,800"
201204,78730,Irrigation - Residential,"152,600"
201608,78747,Irrigation - Residential,300
201401,78751,Irrigation - Residential,"51,400"
201609,78729,Multi-Family,"24,175,400"
201809,78705,Residential,"12,763,600"
201405,78744,Multi-Family,"24,187,900"
201703,78736,Multi-Family,"2,438,400"
201307,78653,Residential,"1,567,800"
201602,78750,Multi-Family,"11,083,100"
201406,78726,Irrigation - Residential,"20,000"
201703,78660,Multi-Family,"4,510,300"
201410,78727,Irrigation - Residential,"16,400"
201308,78735,Irrigation - Multi-Family,"3,387,900"
201703,78726,Irrigation - Residential,"7,600"
201303,78745,Irrigation - Residential,"30,100"
201309,78748,Multi-Family,"17,806,000"
201508,78725,Residential,"3,716,900"
201303,78746,Irrigation - Residential,"317,700"
201408,78747,Multi-Family,"7,492,700"
201608,78754,Irrigation - Multi-Family,"4,214,400"
201411,78747,Irrigation - Multi-Family,"725,300"
201409,78724,Irrigation - Residential,"52,200"
201509,78725,Residential,"3,300,200"
201512,78756,Residential,"9,448,700"
201707,78758,Residential,"46,689,400"
201803,78729,Residential,"16,339,800"
201311,78731,Irrigation - Multi-Family,"716,100"
201210,78702,Irrigation - Multi-Family,"1,114,100"
201411,78728,Multi-Family,"7,204,400"
201601,78653,Residential,"1,078,600"
201512,78739,Irrigation - Multi-Family,900
201202,78727,Irrigation - Multi-Family,"1,942,100"
201512,78727,Residential,"29,324,200"
201507,78717,Multi-Family,"10,859,500"
201608,78723,Residential,"40,648,800"
201505,78704,Irrigation - Residential,"76,400"
201608,78757,Irrigation - Residential,"60,400"
201603,78744,Irrigation - Multi-Family,"1,810,400"
201711,78729,Residential,"19,899,100"
201306,78717,Irrigation - Residential,"30,400"
201411,78746,Multi-Family,"14,034,200"
201611,78741,Multi-Family,"74,930,800"
201410,78704,Residential,"45,825,800"
201611,78613,Irrigation - Multi-Family,"1,156,300"
201204,78652,Multi-Family,"313,900"
201402,78735,Irrigation - Multi-Family,"245,300"
201504,78735,Irrigation - Multi-Family,"371,500"
201801,78752,Residential,"11,334,800"
201305,78727,Irrigation - Residential,"2,200"
201410,78617,Irrigation - Residential,"3,100"
201310,78759,Residential,"79,211,200"
201202,78724,Irrigation - Residential,"17,900"
201510,78738,Residential,"11,300"
201405,78729,Irrigation - Multi-Family,"2,434,100"
201404,78754,Irrigation - Multi-Family,"1,721,100"
201310,78752,Multi-Family,"18,902,000"
201302,78735,Irrigation - Multi-Family,"1,336,300"
201508,78660,Irrigation - Multi-Family,"344,200"
201312,78660,Irrigation - Residential,"8,400"
201602,78749,Multi-Family,"15,818,100"
201203,78739,Irrigation - Residential,0
201310,78724,Irrigation - Multi-Family,"483,500"
201506,78703,Multi-Family,"12,160,900"
201308,78731,Irrigation - Multi-Family,"1,664,400"
201706,78759,Irrigation - Multi-Family,"1,266,200"
201609,78724,Irrigation - Multi-Family,"230,400"
201612,78725,Irrigation - Residential,0
201806,78721,Multi-Family,"5,127,600"
201412,78722,Multi-Family,"2,783,200"
201808,78759,Irrigation - Multi-Family,"2,549,700"
201405,78754,Multi-Family,"16,025,300"
201308,78729,Irrigation - Residential,"15,900"
201406,78757,Residential,"36,234,200"
201203,78742,Multi-Family,"283,800"
201201,78749,Residential,"56,319,200"
201608,78750,Multi-Family,"14,324,100"
201406,78717,Irrigation - Multi-Family,"5,733,700"
201409,78730,Residential,"25,743,100"
201612,78745,Irrigation - Multi-Family,"2,975,900"
201610,78704,Irrigation - Residential,"255,600"
201403,78704,Irrigation - Residential,"73,800"
201803,78702,Irrigation - Residential,"2,700"
201406,78702,Irrigation - Residential,"44,200"
201309,78746,Irrigation - Multi-Family,"1,231,800"
201802,78735,Multi-Family,"10,219,800"
201606,78759,Irrigation - Residential,"68,700"
201410,78750,Irrigation - Residential,"19,800"
201602,78717,Residential,"24,853,000"
201402,78754,Irrigation - Residential,"28,500"
201808,78702,Multi-Family,"13,680,300"
201403,78744,Multi-Family,"22,935,300"
201702,78746,Irrigation - Multi-Family,"337,400"
201412,78756,Irrigation - Residential,"31,800"
201406,78741,Irrigation - Residential,"21,100"
201505,78728,Irrigation - Multi-Family,"1,230,100"
201412,78737,Irrigation - Residential,"5,300"
201411,78704,Multi-Family,"50,602,900"
201702,78617,Irrigation - Residential,"5,600"
201509,78705,Residential,"13,151,700"
201402,78751,Multi-Family,"11,458,600"
201610,78749,Irrigation - Residential,"24,600"
201212,78754,Irrigation - Residential,0
201601,78759,Residential,"46,871,300"
201207,78741,Multi-Family,"85,895,200"
201802,78653,Irrigation - Residential,"8,000"
201404,78748,Irrigation - Multi-Family,"5,535,900"
201408,78741,Irrigation - Multi-Family,"2,091,200"
201702,78729,Irrigation - Residential,"2,100"
201503,78701,Irrigation - Residential,"16,800"
201309,78736,Irrigation - Multi-Family,"527,400"
201501,78729,Multi-Family,"21,902,100"
201803,78745,Multi-Family,"30,172,700"
201303,78702,Irrigation - Multi-Family,"757,900"
201211,78729,Multi-Family,"24,831,800"
201203,78653,Residential,"913,600"
201806,78727,Irrigation - Multi-Family,"7,546,600"
201205,78750,Irrigation - Residential,"13,700"
201306,78748,Irrigation - Residential,"28,900"
201506,78652,Irrigation - Residential,"72,900"
201609,78746,Irrigation - Residential,"481,000"
201703,78727,Irrigation - Residential,"12,200"
201703,78748,Irrigation - Residential,"22,300"
201610,78723,Irrigation - Residential,100
201601,78702,Multi-Family,"10,737,500"
201404,78756,Irrigation - Multi-Family,"35,300"
201304,78741,Irrigation - Multi-Family,"3,346,400"
201808,78703,Irrigation - Multi-Family,"1,225,900"
201305,78725,Multi-Family,"379,500"
201309,78748,Irrigation - Multi-Family,"10,486,700"
201205,78732,Residential,"6,000"
201310,78701,Multi-Family,"13,685,700"
201304,78731,Multi-Family,"17,250,200"
201408,78731,Multi-Family,"17,752,600"
201304,78736,Irrigation - Residential,"9,000"
201503,78741,Irrigation - Residential,"3,900"
201407,78754,Irrigation - Residential,"21,800"
201302,78748,Irrigation - Multi-Family,"5,335,100"
201504,78745,Multi-Family,"30,754,500"
201604,78757,Irrigation - Residential,"34,400"
201412,78724,Irrigation - Residential,"13,500"
201603,78747,Multi-Family,"6,910,100"
201302,78757,Irrigation - Residential,"40,100"
201512,78652,Irrigation - Residential,"77,100"
201510,78703,Irrigation - Residential,"1,846,100"
201408,78726,Irrigation - Residential,"37,200"
201404,78741,Irrigation - Residential,"6,000"
201703,78747,Irrigation - Multi-Family,"130,900"
201306,78721,Irrigation - Residential,"4,500"
201610,78728,Irrigation - Residential,"7,000"
201210,78722,Irrigation - Multi-Family,"102,700"
201406,78736,Irrigation - Multi-Family,"207,700"
201805,78653,Irrigation - Multi-Family,0
201612,78746,Irrigation - Residential,"285,800"
201611,78758,Multi-Family,"48,825,600"
201302,78704,Multi-Family,"45,135,200"
201807,78738,Residential,"288,700"
201803,78746,Irrigation - Multi-Family,"163,400"
201302,78735,Multi-Family,"9,684,800"
201510,78741,Multi-Family,"81,888,400"
201312,78749,Irrigation - Multi-Family,"1,934,600"
201204,78719,Residential,"1,472,900"
201711,78749,Multi-Family,"15,042,400"
201603,78719,Residential,"1,444,600"
201604,78758,Irrigation - Residential,"17,300"
201605,78719,Multi-Family,"348,100"
201801,78727,Irrigation - Multi-Family,"1,209,900"
201601,78727,Multi-Family,"22,792,000"
201606,78744,Irrigation - Residential,"35,000"
201311,78744,Multi-Family,"25,713,700"
201505,78736,Residential,"9,938,900"
201508,78758,Irrigation - Residential,"93,600"
201502,78756,Irrigation - Multi-Family,"86,100"
201512,78717,Irrigation - Residential,"9,100"
201711,78759,Multi-Family,"40,318,700"
201310,78757,Irrigation - Multi-Family,"340,400"
201703,78748,Multi-Family,"20,679,500"
201606,78747,Multi-Family,"7,549,600"
201403,78660,Irrigation - Multi-Family,"532,300"
201511,78756,Irrigation - Residential,"69,200"
201701,78738,Residential,0
201210,78724,Irrigation - Residential,"16,500"
201805,78652,Residential,"4,434,700"
201701,78722,Irrigation - Residential,0
201402,78613,Irrigation - Multi-Family,"473,000"
201407,78717,Multi-Family,"8,413,800"
201610,78751,Residential,"16,666,200"
201301,78754,Irrigation - Residential,0
201408,78730,Irrigation - Multi-Family,"1,739,600"
201207,78735,Multi-Family,"11,845,100"
201703,78735,Multi-Family,"9,033,600"
201609,78719,Residential,"1,592,400"
201512,78748,Irrigation - Residential,"53,000"
201511,78738,Residential,"4,800"
201306,78753,Residential,"47,984,300"
201407,78749,Irrigation - Residential,"25,500"
201412,78660,Multi-Family,"4,082,800"
201509,78752,Irrigation - Multi-Family,"293,100"
201503,78721,Irrigation - Residential,"5,900"
201501,78704,Multi-Family,"50,327,400"
201607,78703,Irrigation - Residential,"1,829,600"
201308,78721,Residential,"17,323,100"
201303,78738,Residential,"8,000"
201605,78739,Irrigation - Multi-Family,"3,600"
201412,78730,Residential,"19,082,200"
201205,78702,Irrigation - Residential,"33,500"
201306,78736,Residential,"15,871,700"
201306,78728,Irrigation - Multi-Family,"1,066,000"
201203,78722,Irrigation - Multi-Family,"84,000"
201404,78728,Multi-Family,"5,627,600"
201312,78742,Residential,"675,000"
201808,78735,Residential,"35,402,500"
201206,78759,Irrigation - Multi-Family,"1,710,600"
201204,78613,Multi-Family,"25,500"
201504,78703,Residential,"39,982,800"
201407,78744,Multi-Family,"25,268,600"
201203,78703,Irrigation - Residential,"649,100"
201707,78702,Multi-Family,"12,931,000"
201805,78738,Residential,"48,500"
201212,78731,Multi-Family,"17,488,200"
201601,78717,Multi-Family,"12,438,500"
201606,78748,Irrigation - Residential,"15,600"
201403,78613,Multi-Family,"272,800"
201210,78660,Irrigation - Residential,"11,300"
201605,78728,Irrigation - Multi-Family,"1,147,000"
201403,78727,Irrigation - Multi-Family,"1,589,000"
201502,78728,Multi-Family,"6,706,000"
201503,78747,Irrigation - Multi-Family,"82,700"
201701,78735,Irrigation - Multi-Family,"1,353,900"
201510,78739,Irrigation - Multi-Family,"176,900"
201501,78719,Multi-Family,"510,900"
201701,78729,Multi-Family,"21,436,400"
201305,78702,Irrigation - Multi-Family,"805,900"
201511,78725,Multi-Family,"187,000"
201803,78701,Multi-Family,"14,944,900"
201804,78735,Residential,"19,980,400"
201510,78729,Irrigation - Multi-Family,"6,033,900"
201411,78703,Residential,"54,790,400"
201406,78738,Residential,"6,800"
201710,78705,Residential,"10,282,000"
201409,78729,Multi-Family,"22,513,300"
201303,78752,Multi-Family,"16,819,700"
201209,78702,Irrigation - Residential,"34,200"
201201,78704,Irrigation - Multi-Family,"836,600"
201402,78756,Irrigation - Multi-Family,"22,600"
201311,78735,Multi-Family,"8,921,200"
201307,78753,Irrigation - Residential,"28,400"
201409,78728,Irrigation - Multi-Family,"1,550,200"
201710,78736,Multi-Family,"4,054,100"
201311,78757,Irrigation - Residential,"75,300"
201602,78705,Irrigation - Residential,"31,600"
201310,78747,Irrigation - Multi-Family,"584,300"
201307,78749,Residential,"110,119,400"
201601,78751,Residential,"13,843,500"
201712,78753,Residential,"33,928,000"
201208,78745,Residential,"106,259,100"
201504,78748,Irrigation - Multi-Family,"1,970,800"
201603,78722,Multi-Family,"3,222,600"
201212,78652,Irrigation - Residential,"54,100"
201202,78754,Irrigation - Residential,0
201304,78736,Irrigation - Multi-Family,"328,900"
201301,78721,Irrigation - Residential,"3,500"
201305,78660,Irrigation - Residential,"8,800"
201308,78747,Irrigation - Multi-Family,"1,451,800"
201204,78759,Irrigation - Residential,"63,600"
201210,78717,Multi-Family,"7,475,000"
201804,78705,Residential,"9,065,200"
201305,78748,Irrigation - Residential,"11,900"
201503,78730,Residential,"16,561,400"
201801,78738,Residential,0
201406,78747,Irrigation - Multi-Family,"696,800"
201208,78747,Irrigation - Residential,"22,600"
201511,78735,Multi-Family,"8,208,900"
201504,78741,Irrigation - Residential,"6,600"
201411,78702,Irrigation - Residential,"35,200"
201802,78751,Irrigation - Residential,"20,600"
201310,78617,Residential,"18,755,700"
201307,78729,Irrigation - Residential,"19,000"
201311,78746,Irrigation - Residential,"196,500"
201204,78742,Residential,"657,700"
201501,78727,Irrigation - Residential,0
201511,78728,Irrigation - Multi-Family,"1,647,500"
201209,78717,Irrigation - Multi-Family,"6,502,000"
201406,78730,Residential,"16,486,400"
201508,78752,Irrigation - Multi-Family,"183,600"
201603,78724,Multi-Family,"11,277,800"
201610,78703,Irrigation - Multi-Family,"1,240,100"
201408,78754,Irrigation - Multi-Family,"2,535,700"
201505,78728,Multi-Family,"6,670,000"
201701,78746,Irrigation - Multi-Family,"221,900"
201212,78730,Irrigation - Multi-Family,"1,125,600"
201305,78757,Residential,"38,579,600"
201505,78717,Residential,"26,218,100"
201305,78653,Multi-Family,"116,100"
201809,78721,Multi-Family,"5,297,000"
201601,78727,Irrigation - Residential,"4,900"
201611,78730,Multi-Family,"3,900,000"
201208,78723,Irrigation - Multi-Family,"326,800"
201606,78753,Irrigation - Residential,"2,600"
201610,78725,Residential,"2,948,300"
201802,78752,Irrigation - Residential,"1,200"
201808,78702,Residential,"30,947,500"
201601,78757,Irrigation - Residential,"8,900"
201310,78722,Multi-Family,"2,583,600"
201501,78741,Irrigation - Multi-Family,"1,423,500"
201306,78741,Irrigation - Residential,"7,900"
201210,78660,Multi-Family,"3,606,800"
201401,78749,Irrigation - Residential,"3,300"
201304,78727,Irrigation - Residential,"10,600"
201601,78736,Multi-Family,"2,442,300"
201302,78652,Residential,"623,900"
201410,78728,Irrigation - Multi-Family,"1,493,500"
201711,78717,Irrigation - Multi-Family,"4,658,800"
201401,78729,Irrigation - Residential,"8,300"
201601,78705,Residential,"8,050,100"
201403,78617,Irrigation - Residential,"3,300"
201708,78746,Residential,"77,518,700"
201403,78739,Irrigation - Residential,"5,600"
201611,78727,Multi-Family,"21,601,900"
201412,78758,Irrigation - Residential,"11,000"
201202,78750,Multi-Family,"10,400,000"
201406,78701,Residential,"1,016,300"
201608,78727,Multi-Family,"23,228,500"
201502,78705,Irrigation - Multi-Family,"335,500"
201506,78721,Residential,"13,515,900"
201507,78759,Multi-Family,"38,812,200"
201511,78745,Irrigation - Residential,"72,100"
201702,78736,Irrigation - Residential,"6,500"
201409,78702,Residential,"30,770,300"
201809,78757,Irrigation - Multi-Family,"583,300"
201303,78660,Multi-Family,"3,052,000"
201512,78736,Irrigation - Multi-Family,"557,100"
201806,78756,Irrigation - Multi-Family,"229,000"
201511,78726,Irrigation - Residential,"28,100"
201804,78730,Residential,"21,848,000"
201701,78660,Multi-Family,"5,930,500"
201503,78746,Multi-Family,"10,934,200"
201606,78704,Irrigation - Residential,"146,600"
201803,78741,Irrigation - Multi-Family,"1,232,100"
201502,78704,Irrigation - Multi-Family,"346,700"
201612,78613,Multi-Family,"2,568,300"
201305,78727,Multi-Family,"20,954,900"
201201,78727,Multi-Family,"21,880,600"
201507,78744,Irrigation - Multi-Family,"1,421,700"
201308,78721,Multi-Family,"5,399,900"
201208,78736,Irrigation - Residential,"22,900"
201204,78728,Multi-Family,"6,612,100"
201403,78748,Irrigation - Residential,"15,700"
201802,78719,Residential,"1,451,900"
201502,78617,Residential,"16,921,300"
201412,78746,Irrigation - Residential,"155,500"
201710,78702,Multi-Family,"11,524,500"
201611,78728,Irrigation - Residential,"2,700"
201212,78758,Irrigation - Residential,"20,400"
201306,78735,Multi-Family,"10,810,800"
201212,78723,Irrigation - Multi-Family,"385,300"
201312,78731,Irrigation - Residential,"251,700"
201411,78754,Multi-Family,"17,755,600"
201507,78719,Residential,"1,594,100"
201409,78758,Irrigation - Multi-Family,"5,481,900"
201712,78745,Residential,"61,917,900"
201301,78754,Residential,"21,515,800"
201508,78722,Irrigation - Residential,200
201404,78701,Residential,"1,081,100"
201809,78717,Residential,"46,027,500"
201202,78717,Multi-Family,"6,778,400"
201605,78749,Residential,"45,859,900"
201511,78736,Multi-Family,"2,342,100"
201604,78736,Irrigation - Multi-Family,"486,100"
201504,78753,Irrigation - Residential,"2,400"
201202,78747,Irrigation - Residential,"71,600"
201201,78726,Multi-Family,"11,858,900"
201606,78728,Irrigation - Multi-Family,"1,443,700"
201510,78750,Irrigation - Multi-Family,"1,783,800"
201701,78739,Irrigation - Multi-Family,0
201412,78741,Irrigation - Multi-Family,"1,855,100"
201605,78722,Multi-Family,"2,894,000"
201309,78731,Irrigation - Residential,"935,300"
201202,78735,Multi-Family,"8,649,700"
201408,78701,Multi-Family,"14,231,600"
201509,78745,Multi-Family,"36,126,800"
201302,78717,Irrigation - Residential,"14,600"
201507,78759,Irrigation - Residential,"150,100"
201503,78723,Irrigation - Residential,400
201803,78757,Irrigation - Multi-Family,"116,600"
201510,78756,Irrigation - Multi-Family,"270,400"
201210,78717,Irrigation - Residential,"28,700"
201211,78754,Residential,"22,349,200"
201305,78744,Multi-Family,"26,045,300"
201304,78703,Irrigation - Multi-Family,"428,400"
201409,78750,Irrigation - Residential,"53,500"
201209,78652,Multi-Family,"63,100"
201303,78717,Multi-Family,"7,146,900"
201402,78724,Irrigation - Multi-Family,"99,100"
201501,78724,Residential,"21,214,800"
201309,78748,Irrigation - Residential,"31,800"
201606,78724,Residential,"22,207,200"
201511,78719,Multi-Family,"448,800"
201507,78735,Residential,"21,490,400"
201305,78724,Multi-Family,"12,301,000"
201406,78756,Residential,"11,946,100"
201804,78750,Irrigation - Multi-Family,"1,125,400"
201609,78749,Residential,"64,126,500"
201502,78748,Irrigation - Multi-Family,"1,468,200"
201310,78660,Multi-Family,"3,376,400"
201405,78731,Irrigation - Residential,"541,400"
201505,78701,Irrigation - Residential,"16,700"
201305,78729,Multi-Family,"22,498,200"
201605,78722,Irrigation - Multi-Family,"70,200"
201307,78746,Irrigation - Multi-Family,"1,247,200"
201311,78717,Multi-Family,"8,090,000"
201312,78753,Multi-Family,"49,188,200"
201205,78653,Residential,"1,282,000"
201407,78728,Irrigation - Multi-Family,"2,836,000"
201610,78729,Multi-Family,"23,149,400"
201702,78717,Irrigation - Residential,"15,900"
201605,78736,Multi-Family,"2,165,300"
201309,78725,Residential,"2,620,300"
201305,78757,Irrigation - Residential,"51,600"
201208,78727,Multi-Family,"23,697,200"
201312,78660,Residential,"7,113,900"
201509,78745,Irrigation - Residential,"128,600"
201305,78724,Irrigation - Residential,"21,200"
201602,78705,Residential,"8,295,300"
201311,78739,Residential,"37,458,000"
201203,78717,Irrigation - Residential,0
201804,78749,Irrigation - Multi-Family,"2,458,300"
201710,78702,Irrigation - Multi-Family,"1,173,400"
201706,78752,Irrigation - Multi-Family,"217,400"
201504,78745,Irrigation - Residential,"47,600"
201401,78731,Irrigation - Residential,"299,900"
201209,78660,Irrigation - Residential,"5,300"
201304,78730,Residential,"13,564,100"
201208,78660,Multi-Family,"3,969,600"
201503,78744,Irrigation - Multi-Family,"393,100"
201207,78613,Irrigation - Multi-Family,"54,000"
201410,78759,Residential,"70,151,700"
201601,78736,Irrigation - Residential,"16,300"
201506,78727,Multi-Family,"20,407,900"
201402,78702,Residential,"23,542,500"
201703,78748,Irrigation - Multi-Family,"3,795,700"
201606,78653,Multi-Family,"91,300"
201301,78758,Irrigation - Residential,"37,200"
201704,78749,Irrigation - Residential,"18,200"
201405,78702,Irrigation - Multi-Family,"719,900"
201607,78705,Irrigation - Multi-Family,"871,700"
201611,78745,Multi-Family,"30,861,200"
201203,78702,Irrigation - Multi-Family,"328,500"
201402,78721,Irrigation - Residential,400
201304,78751,Irrigation - Multi-Family,"382,000"
201608,78717,Irrigation - Residential,"51,900"
201407,78725,Residential,"3,014,400"
201608,78735,Multi-Family,"10,716,400"
201206,78754,Irrigation - Residential,0
201309,78705,Irrigation - Multi-Family,"566,100"
201608,78746,Multi-Family,"15,376,700"
201205,78702,Residential,"29,305,900"
201804,78749,Residential,"56,418,800"
201408,78721,Irrigation - Multi-Family,"120,000"
201805,78736,Residential,"13,063,300"
201607,78738,Residential,"29,800"
201511,78660,Irrigation - Residential,"10,200"
201505,78726,Irrigation - Residential,"44,100"
201602,78719,Multi-Family,"319,200"
201507,78703,Multi-Family,"13,220,200"
201611,78723,Irrigation - Residential,"1,100"
201802,78726,Multi-Family,"12,627,200"
201512,78728,Irrigation - Multi-Family,"469,900"
201505,78652,Multi-Family,"27,300"
201602,78729,Irrigation - Residential,700
201411,78701,Multi-Family,"14,694,600"
201307,78752,Irrigation - Multi-Family,"257,000"
201301,78702,Residential,"28,383,900"
201212,78757,Irrigation - Multi-Family,"110,500"
201502,78749,Irrigation - Residential,"15,800"
201602,78757,Irrigation - Multi-Family,"88,100"
201408,78702,Residential,"29,086,100"
201408,78613,Irrigation - Multi-Family,"1,899,300"
201508,78759,Irrigation - Multi-Family,"1,560,700"
201304,78747,Residential,"23,160,400"
201203,78736,Multi-Family,"2,024,800"
201701,78722,Irrigation - Multi-Family,"58,000"
201309,78736,Irrigation - Residential,"29,200"
201409,78730,Multi-Family,"5,101,900"
201501,78652,Residential,"905,600"
201302,78704,Residential,"39,592,600"
201809,78724,Irrigation - Residential,"29,400"
201506,78739,Residential,"30,173,700"
201710,78729,Residential,"23,311,200"
201410,78719,Residential,"1,492,600"
201412,78744,Irrigation - Residential,"24,000"
201301,78739,Residential,"39,404,300"
201702,78730,Residential,"14,017,200"
201205,78717,Irrigation - Multi-Family,"2,901,000"
201602,78702,Residential,"22,994,600"
201703,78731,Irrigation - Multi-Family,"262,400"
201210,78719,Residential,"1,598,200"
201608,78730,Irrigation - Residential,"223,400"
201403,78754,Irrigation - Residential,"11,300"
201602,78759,Irrigation - Multi-Family,"629,600"
201701,78742,Multi-Family,"211,600"
201505,78750,Irrigation - Multi-Family,"679,900"
201206,78758,Irrigation - Multi-Family,"3,422,200"
201611,78750,Irrigation - Residential,"13,200"
201301,78750,Multi-Family,"12,510,000"
201410,78738,Residential,"8,000"
201607,78754,Irrigation - Multi-Family,"4,450,000"
201806,78726,Residential,"26,080,200"
201212,78717,Irrigation - Residential,"33,400"
201809,78754,Irrigation - Residential,"24,200"
201606,78750,Irrigation - Residential,"25,700"
201502,78750,Irrigation - Residential,0
201309,78726,Irrigation - Multi-Family,"8,262,700"
201602,78722,Irrigation - Multi-Family,"67,500"
201212,78719,Multi-Family,"521,000"
201304,78748,Irrigation - Residential,"11,900"
201205,78705,Irrigation - Multi-Family,"459,500"
201209,78747,Multi-Family,"9,624,200"
201410,78701,Residential,"1,040,100"
201206,78660,Irrigation - Residential,"21,800"
201601,78736,Residential,"9,697,300"
201608,78742,Multi-Family,"244,800"
201202,78723,Multi-Family,"19,001,300"
201209,78747,Irrigation - Residential,"64,200"
201607,78727,Irrigation - Multi-Family,"6,142,300"
201201,78751,Irrigation - Residential,"41,000"
201604,78652,Residential,"2,347,500"
201409,78653,Residential,"1,331,500"
201311,78749,Multi-Family,"16,328,500"
201309,78721,Multi-Family,"4,938,300"
201207,78751,Irrigation - Multi-Family,"973,400"
201212,78751,Residential,"17,553,300"
201408,78748,Multi-Family,"19,183,200"
201310,78754,Multi-Family,"16,910,300"
201602,78652,Irrigation - Residential,"69,300"
201610,78724,Irrigation - Multi-Family,"23,100"
201611,78703,Irrigation - Multi-Family,"821,400"
201401,78739,Irrigation - Residential,0
201304,78729,Irrigation - Multi-Family,"2,523,100"
201405,78756,Irrigation - Multi-Family,"68,400"
201608,78702,Irrigation - Multi-Family,"1,461,100"
201507,78746,Irrigation - Multi-Family,"902,700"
201501,78717,Irrigation - Multi-Family,"1,619,000"
201612,78738,Residential,700
201304,78727,Multi-Family,"19,466,000"
201408,78701,Residential,"1,270,100"
201605,78759,Irrigation - Residential,"33,200"
201210,78730,Irrigation - Multi-Family,"1,863,700"
201806,78723,Multi-Family,"22,237,100"
201509,78660,Multi-Family,"4,239,900"
201509,78721,Irrigation - Multi-Family,"17,000"
201601,78652,Irrigation - Residential,"95,000"
201803,78617,Irrigation - Multi-Family,"3,300"
